Year,State,Population
2008,Australian Capital Territory,348872
2008,New South Wales,6959386
2008,Northern Territory,220444
2008,Queensland,4233632
2008,South Australia,1591170
2008,Tasmania,499489
2008,Victoria,5272302
2008,Western Australia,2181940
2009,Australian Capital Territory,355576
2009,New South Wales,7066714
2009,Northern Territory,226247
2009,Queensland,4337991
2009,South Australia,1611554
2009,Tasmania,504928
2009,Victoria,5384432
2009,Western Australia,2246417
2010,Australian Capital Territory,362450
2010,New South Wales,7153816
2010,Northern Territory,229784
2010,Queensland,4412724
2010,South Australia,1628517
2010,Tasmania,509182
2010,Victoria,5470174
2010,Western Australia,2298478
2011,Australian Capital Territory,369170
2011,New South Wales,7230379
2011,Northern Territory,231762
2011,Queensland,4487876
2011,South Australia,1641740
2011,Tasmania,511588
2011,Victoria,5553669
2011,Western Australia,2361645
2012,Australian Capital Territory,377448
2012,New South Wales,7317507
2012,Northern Territory,236609
2012,Queensland,4579426
2012,South Australia,1658180
2012,Tasmania,511778
2012,Victoria,5666613
2012,Western Australia,2433495
2013,Australian Capital Territory,384087
2013,New South Wales,7418208
2013,Northern Territory,241608
2013,Queensland,4660869
2013,South Australia,1673227
2013,Tasmania,512499
2013,Victoria,5788667
2013,Western Australia,2490165
2014,Australian Capital Territory,389906
2014,New South Wales,7523659
2014,Northern Territory,242910
2014,Queensland,4726679
2014,South Australia,1688432
2014,Tasmania,513810
2014,Victoria,5912285
2014,Western Australia,2520706
2015,Australian Capital Territory,396680
2015,New South Wales,7632156
2015,Northern Territory,244103
2015,Queensland,4784646
2015,South Australia,1702185
2015,Tasmania,515330
2015,Victoria,6042034
2015,Western Australia,2542632
2016,Australian Capital Territory,404924
2016,New South Wales,7750952
2016,Northern Territory,245703
2016,Queensland,4854983
2016,South Australia,1715008
2016,Tasmania,518990
2016,Victoria,6188358
2016,Western Australia,2561146
2017,Australian Capital Territory,416563
2017,New South Wales,7868619
2017,Northern Territory,247005
2017,Queensland,4934711
2017,South Australia,1730659
2017,Tasmania,528062
2017,Victoria,6318222
2017,Western Australia,2589766
2018,Australian Capital Territory,427266
2018,New South Wales,7969313
2018,Northern Territory,246674
2018,Queensland,5016639
2018,South Australia,1748989
2018,Tasmania,538803
2018,Victoria,6439074
2018,Western Australia,2623159
2019,Australian Capital Territory,437108
2019,New South Wales,8059862
2019,Northern Territory,246366
2019,Queensland,5099858
2019,South Australia,1770804
2019,Tasmania,549233
2019,Victoria,6553492
2019,Western Australia,2668078
2020,Australian Capital Territory,445334
2020,New South Wales,8103954
2020,Northern Territory,247493
2020,Queensland,5169330
2020,South Australia,1791224
2020,Tasmania,558715
2020,Victoria,6597578
2020,Western Australia,2716862
2021,Australian Capital Territory,452871
2021,New South Wales,8100963
2021,Northern Territory,249075
2021,Queensland,5223766
2021,South Australia,1803204
2021,Tasmania,567379
2021,Victoria,6550313
2021,Western Australia,2751823
2022,Australian Capital Territory,462676
2022,New South Wales,8205814
2022,Northern Territory,253726
2022,Queensland,5328345
2022,South Australia,1829211
2022,Tasmania,572454
2022,Victoria,6641224
2022,Western Australia,2806946
2023,Australian Capital Territory,472301
2023,New South Wales,8379347
2023,Northern Territory,257915
2023,Queensland,5467118
2023,South Australia,1861339
2023,Tasmania,573900
2023,Victoria,6820288
2023,Western Australia,2903321
2024,Australian Capital Territory,479196
2024,New South Wales,8506332
2024,Northern Territory,261283
2024,Queensland,5583888
2024,South Australia,1884815
2024,Tasmania,575068
2024,Victoria,6966958
2024,Western Australia,2986742
2025,Australian Capital Territory,484728
2025,New South Wales,8597041
2025,Northern Territory,264625
2025,Queensland,5670223
2025,South Australia,1903276
2025,Tasmania,576329
2025,Victoria,7076259
2025,Western Australia,3045787
